行番号	アクセス修飾子	クラス名	メソッド名	仮引数の変数名リスト	可変長引数があるか	型パラメータリスト	型パラメータ記号リスト	定数名	引数の個数	引数の型リスト	戻り値の型
00009-00205	public	org.chasen.mecab.Lattice	hashCode		false			N/A	0		int
00009-00206	public	org.chasen.mecab.Lattice	has_request_type	arg0	false			N/A	1	int	boolean
00009-00207	public	org.chasen.mecab.Lattice	toString		false			N/A	0		java.lang.String
00009-00208	public	org.chasen.mecab.Lattice	toString	arg0	false			N/A	1	org.chasen.mecab.Node	java.lang.String
00009-00209	public	org.chasen.mecab.Lattice	newNode		false			N/A	0		org.chasen.mecab.Node
00009-00210	public	org.chasen.mecab.Lattice	feature_constraint	arg0	false			N/A	1	long	java.lang.String
00009-00211	public	org.chasen.mecab.Lattice	set_feature_constraint	arg0,arg1,arg2	false			N/A	3	java.lang.String,long	void
00009-00212	public	org.chasen.mecab.Lattice	notify		false			N/A	0		void
00009-00213	public	org.chasen.mecab.Lattice	sentence		false			N/A	0		java.lang.String
00009-00214	public	org.chasen.mecab.Lattice	set_what	arg0	false			N/A	1	java.lang.String	void
00009-00215	public	org.chasen.mecab.Lattice	add_request_type	arg0	false			N/A	1	int	void
00009-00216	public	org.chasen.mecab.Lattice	begin_nodes	arg0	false			N/A	1	long	org.chasen.mecab.Node
00009-00217	public	org.chasen.mecab.Lattice	wait	arg0	false			N/A	1	long	void
00009-00218	public	org.chasen.mecab.Lattice	wait	arg0,arg1	false			N/A	2	int,long	void
00009-00219	public	org.chasen.mecab.Lattice	wait		false			N/A	0		void
00009-00220	public	org.chasen.mecab.Lattice	is_available		false			N/A	0		boolean
00009-00221	public	org.chasen.mecab.Lattice	eos_node		false			N/A	0		org.chasen.mecab.Node
00009-00222	public	org.chasen.mecab.Lattice	getClass		false			N/A	0		java.lang.Class<?>
00009-00223	public	org.chasen.mecab.Lattice	bos_node		false			N/A	0		org.chasen.mecab.Node
00009-00224	public	org.chasen.mecab.Lattice	clear		false			N/A	0		void
00009-00225	public	org.chasen.mecab.Lattice	notifyAll		false			N/A	0		void
00010-00226	public	org.chasen.mecab.MeCabJNI	MECAB_PARTIAL_get		false			N/A	0		int
00010-00227	public	org.chasen.mecab.MeCabJNI	Lattice_begin_nodes	arg0,arg1,arg2	false			N/A	3	long,org.chasen.mecab.Lattice	long
00010-00228	public	org.chasen.mecab.MeCabJNI	Tagger_partial	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Tagger	boolean
00010-00229	public	org.chasen.mecab.MeCabJNI	new_Tagger__SWIG_0	arg0	false			N/A	1	java.lang.String	long
00010-00230	public	org.chasen.mecab.MeCabJNI	new_Tagger__SWIG_1		false			N/A	0		long
00010-00231	public	org.chasen.mecab.MeCabJNI	DictionaryInfo_size_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.DictionaryInfo	long
00010-00232	public	org.chasen.mecab.MeCabJNI	delete_Model	arg0	false			N/A	1	long	void
00010-00233	public	org.chasen.mecab.MeCabJNI	Node_prev_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Node	long
00010-00234	public	org.chasen.mecab.MeCabJNI	Node_lpath_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Node	long
00010-00235	public	org.chasen.mecab.MeCabJNI	Model_createTagger	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Model	long
00010-00236	public	org.chasen.mecab.MeCabJNI	Node_char_type_get	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Node	short
00010-00237	public	org.chasen.mecab.MeCabJNI	Lattice_end_nodes	arg0,arg1,arg2	false			N/A	3	long,org.chasen.mecab.Lattice	long
00010-00238	public	org.chasen.mecab.MeCabJNI	Lattice_theta	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Lattice	float
00010-00239	public	org.chasen.mecab.MeCabJNI	Lattice_set_feature_constraint	arg0,arg1,arg2,arg3,arg4	false			N/A	5	java.lang.String,long,org.chasen.mecab.Lattice	void
00010-00240	public	org.chasen.mecab.MeCabJNI	Tagger_parseToNode	arg0,arg1,arg2	false			N/A	3	java.lang.String,long,org.chasen.mecab.Tagger	long
00010-00241	public	org.chasen.mecab.MeCabJNI	Lattice_set_result	arg0,arg1,arg2	false			N/A	3	java.lang.String,long,org.chasen.mecab.Lattice	void
00010-00242	public	org.chasen.mecab.MeCabJNI	MECAB_SYS_DIC_get		false			N/A	0		int
00010-00243	public	org.chasen.mecab.MeCabJNI	Lattice_set_Z	arg0,arg1,arg2	false			N/A	3	double,long,org.chasen.mecab.Lattice	void
00010-00244	public	org.chasen.mecab.MeCabJNI	Lattice_is_available	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Lattice	boolean
00010-00245	public	org.chasen.mecab.MeCabJNI	Tagger_dictionary_info	arg0,arg1	false			N/A	2	long,org.chasen.mecab.Tagger	long
