行番号	単語	ファイル名	開始列番号	文書
150 	 作成	 /home/aine/script-env/centos-7-6-18-10-x/memo.md	 172	 28	 フォントキャッシュ作成する際に参照しているフォルダ見つける
151 	 作成	 /home/aine/script-env/centos-7-6-18-10-x/memo.md	 653	 21	 # dockerイメージ作成
152 	 作成	 /home/aine/script-env/centos-7-6-18-10-x/memo.md	 659	 21	 # dockerコンテナ作成
153 	 作成	 /home/aine/script-env/centos-7-6-18-10-postgres-tclsh-vim/md-man.md	 4	 21	 # dockerイメージ作成
154 	 作成	 /home/aine/script-env/centos-7-6-18-10-postgres-tclsh-vim/md-man.md	 29	 39	 # データ格納ディレクトリの作成
155 	 作成	 /home/aine/script-env/centos-7-6-18-10-postgres-tclsh-vim/md-man.md	 90	 73	 事前にデータファイルをマウントするデータベースを作成しておく
156 	 作成	 /home/aine/script-env/centos-7-6-18-10-postgres-tclsh-vim/md-man.md	 97	 21	 # データベース作成
157 	 作成	 /home/aine/script-env/centos-7-6-18-10-postgres-tclsh-vim/md-man.md	 162	 110	 /usr/local/src/postgresql-12.0/src/pl/tclディレクトリでpltclダイナミックリンクファイルを作成した後、
158 	 作成	 /home/aine/script-env/centos-7-6-18-10-postgres-tclsh-vim/md-man.md	 177	 69	 # tcl8.6バージョンのダイナミックリンクファイルを作成
159 	 作成	 /home/aine/script-env/centos-7-6-18-10-postgres-tclsh-vim/md-man.md	 285	 1	 作成するファンクション
160 	 作成	 /home/aine/script-env/centos-7-6-18-10-postgres-tclsh-vim/md-doc.md	 9	 21	 # dockerイメージ作成
161 	 作成	 /home/aine/script-env/ubuntu-19-10-groonga-vim/md-doc.md	 9	 21	 # dockerイメージ作成
162 	 作成	 /home/aine/script-env/L01-ログから開始終了を抜き取る用.sh	 15	 197	 find $HOME/$ENV_REPO -name "[0-9][0-9]-log" | while read tgt;do { echo $tgt;ls -l --time-style="+%Y-%m-%dT%H
163 	 作成	 /home/aine/script-env/ubuntu-19-10-c-cpp-kdevelop/md-doc.md	 9	 21	 # dockerイメージ作成
164 	 作成	 /home/aine/script-env/ubuntu-19-10-c-cpp-kdevelop/md-dev.md	 8	 18	 [fuseグループ作成方法](https
165 	 作成	 /home/aine/script-env/ubuntu-18-04-aws_workspaces-vscode/md-doc.md	 9	 21	 # dockerイメージ作成
