type	name	mode	prot	user	group	size	last-modified	directories	files
link	/etc/alternatives/bibtex.1.gz	0777	lrwxrwxrwx	root	root	40	2020-08-14T22:56:16		
link	/etc/alternatives/brave-browser	0777	lrwxrwxrwx	root	root	29	2020-08-15T00:24:42		
link	/etc/alternatives/builtins.7.gz	0777	lrwxrwxrwx	root	root	38	2020-08-14T22:03:36		
link	/etc/alternatives/c++	0777	lrwxrwxrwx	root	root	12	2020-08-14T22:56:20		
link	/etc/alternatives/c++.1.gz	0777	lrwxrwxrwx	root	root	28	2020-08-14T22:56:20		
link	/etc/alternatives/c89	0777	lrwxrwxrwx	root	root	16	2020-08-14T22:56:20		
link	/etc/alternatives/c89.1.gz	0777	lrwxrwxrwx	root	root	32	2020-08-14T22:56:20		
link	/etc/alternatives/c99	0777	lrwxrwxrwx	root	root	16	2020-08-14T22:56:20		
link	/etc/alternatives/c99.1.gz	0777	lrwxrwxrwx	root	root	32	2020-08-14T22:56:20		
link	/etc/alternatives/cc	0777	lrwxrwxrwx	root	root	12	2020-08-14T22:56:20		
link	/etc/alternatives/cc.1.gz	0777	lrwxrwxrwx	root	root	28	2020-08-14T22:56:20		
link	/etc/alternatives/cli	0777	lrwxrwxrwx	root	root	13	2020-08-29T20:41:01		
link	/etc/alternatives/cli-gacutil.1.gz	0777	lrwxrwxrwx	root	root	32	2020-08-29T20:41:06		
link	/etc/alternatives/cli.1.gz	0777	lrwxrwxrwx	root	root	29	2020-08-29T20:41:01		
link	/etc/alternatives/compare	0777	lrwxrwxrwx	root	root	24	2020-08-15T13:33:20		
link	/etc/alternatives/compare-im6	0777	lrwxrwxrwx	root	root	24	2020-08-15T13:33:20		
link	/etc/alternatives/compare-im6.1.gz	0777	lrwxrwxrwx	root	root	40	2020-08-15T13:33:20		
link	/etc/alternatives/compare.1.gz	0777	lrwxrwxrwx	root	root	40	2020-08-15T13:33:20		
link	/etc/alternatives/composite	0777	lrwxrwxrwx	root	root	26	2020-08-15T13:33:20		
link	/etc/alternatives/composite-im6	0777	lrwxrwxrwx	root	root	26	2020-08-15T13:33:20		
link	/etc/alternatives/composite-im6.1.gz	0777	lrwxrwxrwx	root	root	42	2020-08-15T13:33:20		
link	/etc/alternatives/composite.1.gz	0777	lrwxrwxrwx	root	root	42	2020-08-15T13:33:20		
link	/etc/alternatives/conjure	0777	lrwxrwxrwx	root	root	24	2020-08-15T13:33:20		
link	/etc/alternatives/conjure-im6	0777	lrwxrwxrwx	root	root	24	2020-08-15T13:33:20		
link	/etc/alternatives/conjure-im6.1.gz	0777	lrwxrwxrwx	root	root	40	2020-08-15T13:33:20		
link	/etc/alternatives/conjure.1.gz	0777	lrwxrwxrwx	root	root	40	2020-08-15T13:33:20		
link	/etc/alternatives/convert	0777	lrwxrwxrwx	root	root	24	2020-08-15T13:33:20		
link	/etc/alternatives/convert-im6	0777	lrwxrwxrwx	root	root	24	2020-08-15T13:33:20		
link	/etc/alternatives/convert-im6.1.gz	0777	lrwxrwxrwx	root	root	40	2020-08-15T13:33:20		
