type	name	mode	prot	user	group
file	/bin/cp	0755	-rwxr-xr-x	root	root
file	/bin/cpan	0755	-rwxr-xr-x	root	root
file	/bin/cpan5.30-x86_64-linux-gnu	0755	-rwxr-xr-x	root	root
file	/bin/cpio	0755	-rwxr-xr-x	root	root
link	/bin/cpp	0777	lrwxrwxrwx	root	root
link	/bin/cpp-9	0777	lrwxrwxrwx	root	root
file	/bin/crc32	0755	-rwxr-xr-x	root	root
file	/bin/crontab	2755	-rwxr-sr-x	root	crontab
file	/bin/cscope	0755	-rwxr-xr-x	root	root
file	/bin/cscope-indexer	0755	-rwxr-xr-x	root	root
file	/bin/csharp	0755	-rwxr-xr-x	root	root
file	/bin/csplit	0755	-rwxr-xr-x	root	root
file	/bin/csv2	0755	-rwxr-xr-x	root	root
file	/bin/ctangle	0755	-rwxr-xr-x	root	root
file	/bin/ctie	0755	-rwxr-xr-x	root	root
file	/bin/ctr	0755	-rwxr-xr-x	root	root
link	/bin/ctstat	0777	lrwxrwxrwx	root	root
file	/bin/ctwill	0755	-rwxr-xr-x	root	root
file	/bin/ctwill-refsort	0755	-rwxr-xr-x	root	root
file	/bin/ctwill-twinx	0755	-rwxr-xr-x	root	root
file	/bin/cupstestppd	0755	-rwxr-xr-x	root	root
file	/bin/curl	0755	-rwxr-xr-x	root	root
file	/bin/cut	0755	-rwxr-xr-x	root	root
file	/bin/cvt	0755	-rwxr-xr-x	root	root
file	/bin/cvtsudoers	0755	-rwxr-xr-x	root	root
file	/bin/cweave	0755	-rwxr-xr-x	root	root
file	/bin/dash	0755	-rwxr-xr-x	root	root
file	/bin/date	0755	-rwxr-xr-x	root	root
link	/bin/db2dvi	0777	lrwxrwxrwx	root	root
file	/bin/db2html	0755	-rwxr-xr-x	root	root
link	/bin/db2pdf	0777	lrwxrwxrwx	root	root
link	/bin/db2ps	0777	lrwxrwxrwx	root	root
link	/bin/db2rtf	0777	lrwxrwxrwx	root	root
