name	version	resolved	integrity	requires	depend_on_name	depend_on_version	depend_on_resolved	depend_on_integrity	depend_on_requires
string.prototype.trimstart	1.0.1	https://registry.npmjs.org/string.prototype.trimstart/-/string.prototype.trimstart-1.0.1.tgz	sha512-XxZn+QpvrBI1FOcg6dIpxUPgWCPuNXvMD72aaRaUQv1eD4e/Qy8i/hFTe0BUmD60p/QA6bh1avmuPTfNjqVWRw==		es-abstract	1.17.7	https://registry.npmjs.org/es-abstract/-/es-abstract-1.17.7.tgz	sha512-VBl/gnfcJ7OercKA9MVaegWsBHFjV492syMudcnQZvt/Dw8ezpcOHYZXa/J96O8vx+g4x65YKhxOwDUh63aS5g==	es-to-primitive:^1.2.1,function-bind:^1.1.1,has:^1.0.3,has-symbols:^1.0.1,is-callable:^1.2.2,is-regex:^1.1.1,object-inspect:^1.8.0,object-keys:^1.1.1,object.assign:^4.1.1,string.prototype.trimend:^1.0.1,string.prototype.trimstart:^1.0.1
vue-loader	15.9.3	https://registry.npmjs.org/vue-loader/-/vue-loader-15.9.3.tgz	sha512-Y67VnGGgVLH5Voostx8JBZgPQTlDQeOVBLOEsjc2cXbCYBKexSKEpOA56x0YZofoDOTszrLnIShyOX1p9uCEHA==		hash-sum	1.0.2	https://registry.npmjs.org/hash-sum/-/hash-sum-1.0.2.tgz	sha1-M7QHd3VMZDJXPBIMw4CLvRDUfwQ=	
@nuxt/telemetry	1.2.3	https://registry.npmjs.org/@nuxt/telemetry/-/telemetry-1.2.3.tgz	sha512-Y79IXGNQrvuZ8/yiCOGqA5urkuhbkQ42cTA7tAGA3NHWja1lX0Rj4ZyFY0psZRvyShYd5kW3OEUp5oLln/wW/Q==		ci-info	2.0.0	https://registry.npmjs.org/ci-info/-/ci-info-2.0.0.tgz	sha512-5tK7EtrZ0N+OLFMthtqOj4fI2Jeb88C4CAZPu25LDVUgXJ0A3Js4PMGqrn0JU1W0Mh1/Z8wZzYPxqUrXeBboCQ==	
aproba	1.2.0	https://registry.npmjs.org/aproba/-/aproba-1.2.0.tgz	sha512-Y9J6ZjXtoYh8RnXVCMOU/ttDmk1aBjunq9vO0ta5x85WDQiQfUF9sIPBITdbiiIVcBo03Hi3jMxigBtsddlXRw==						
node-res	5.0.1	https://registry.npmjs.org/node-res/-/node-res-5.0.1.tgz	sha512-YOleO9c7MAqoHC+Ccu2vzvV1fL6Ku49gShq3PIMKWHRgrMSih3XcwL05NbLBi6oU2J471gTBfdpVVxwT6Pfhxg==	destroy:^1.0.4,etag:^1.8.1,mime-types:^2.1.19,on-finished:^2.3.0,vary:^1.1.2					
postcss-color-mod-function	3.0.3	https://registry.npmjs.org/postcss-color-mod-function/-/postcss-color-mod-function-3.0.3.tgz	sha512-YP4VG+xufxaVtzV6ZmhEtc+/aTXH3d0JLpnYfxqTvwZPbJhWqp8bSY3nfNzNRFLgB4XSaBA82OE4VjOOKpCdVQ==	@csstools/convert-colors:^1.4.0,postcss:^7.0.2,postcss-values-parser:^2.0.0					
ua-parser-js	0.7.22	https://registry.npmjs.org/ua-parser-js/-/ua-parser-js-0.7.22.tgz	sha512-YUxzMjJ5T71w6a8WWVcMGM6YWOTX27rCoIQgLXiWaxqXSx9D7DNjiGWn1aJIRSQ5qr0xuhra77bSIh6voR/46Q==						
@babel/plugin-transform-new-target	7.10.4	https://registry.npmjs.org/@babel/plugin-transform-new-target/-/plugin-transform-new-target-7.10.4.tgz	sha512-YXwWUDAH/J6dlfwqlWsztI2Puz1NtUAubXhOPLQ5gjR/qmQ5U96DY4FQO8At33JN4XPBhrjB8I4eMmLROjjLjw==	@babel/helper-plugin-utils:^7.10.4					
is-generator-function	1.0.7	https://registry.npmjs.org/is-generator-function/-/is-generator-function-1.0.7.tgz	sha512-YZc5EwyO4f2kWCax7oegfuSr9mFz1ZvieNYBEjmukLxgXfBUbxAWGVF7GZf0zidYtoBl3WvC07YK0wT76a+Rtw==						
safer-buffer	2.1.2	https://registry.npmjs.org/safer-buffer/-/safer-buffer-2.1.2.tgz	sha512-YZo3K82SD7Riyi0E1EQPojLz7kpepnSQI9IyPbHHg1XXXevb5dJI7tpyN2ADxGcQbHG7vcyRHk0cbwqcQriUtg==						
neo-async	2.6.2	https://registry.npmjs.org/neo-async/-/neo-async-2.6.2.tgz	sha512-Yd3UES5mWCSqR+qNT93S3UoYUkqAZ9lLg8a7g9rimsWmYGK8cVToA4/sF3RrshdyV3sAGMXVUmpMYOw+dLpOuw==						
@babel/helper-function-name	7.10.4	https://registry.npmjs.org/@babel/helper-function-name/-/helper-function-name-7.10.4.tgz	sha512-YdaSyz1n8gY44EmN7x44zBn9zQ1Ry2Y+3GTA+3vH6Mizke1Vw0aWDM66FOYEPw8//qKkmqOckrGgTYa+6sceqQ==	@babel/helper-get-function-arity:^7.10.4,@babel/template:^7.10.4,@babel/types:^7.10.4					
@vue/babel-plugin-transform-vue-jsx	1.1.2	https://registry.npmjs.org/@vue/babel-plugin-transform-vue-jsx/-/babel-plugin-transform-vue-jsx-1.1.2.tgz	sha512-YfdaoSMvD1nj7+DsrwfTvTnhDXI7bsuh+Y5qWwvQXlD24uLgnsoww3qbiZvWf/EoviZMrvqkqN4CBw0W3BWUTQ==	@babel/helper-module-imports:^7.0.0,@babel/plugin-syntax-jsx:^7.2.0,@vue/babel-helper-vue-jsx-merge-props:^1.0.0,html-tags:^2.0.0,lodash.kebabcase:^4.1.1,svg-tags:^1.0.0					
@vue/babel-sugar-functional-vue	1.1.2	https://registry.npmjs.org/@vue/babel-sugar-functional-vue/-/babel-sugar-functional-vue-1.1.2.tgz	sha512-YhmdJQSVEFF5ETJXzrMpj0nkCXEa39TvVxJTuVjzvP2rgKhdMmQzlJuMv/HpadhZaRVMCCF3AEjjJcK5q/cYzQ==	@babel/plugin-syntax-jsx:^7.2.0					
check-types	8.0.3	https://registry.npmjs.org/check-types/-/check-types-8.0.3.tgz	sha512-YpeKZngUmG65rLudJ4taU7VLkOCTMhNl/u4ctNC56LQS/zJTyNH0Lrtwm1tfTsbLlwvlfsA2d1c8vCf/Kh2KwQ==						
mimic-fn	3.1.0	https://registry.npmjs.org/mimic-fn/-/mimic-fn-3.1.0.tgz	sha512-Ysbi9uYW9hFyfrThdDEQuykN4Ey6BuwPD2kpI5ES/nFTDn/98yxYNLZJcgUAKPT/mcrLLKaGzJR9YVxJrIdASQ==						
postcss-modules-scope	2.2.0	https://registry.npmjs.org/postcss-modules-scope/-/postcss-modules-scope-2.2.0.tgz	sha512-YyEgsTMRpNd+HmyC7H/mh3y+MeFWevy7V1evVhJWewmMbjDHIbZbOXICC2y+m1xI1UVfIT1HMW/O04Hxyu9oXQ==	postcss:^7.0.6,postcss-selector-parser:^6.0.0					
browserslist	4.14.5	https://registry.npmjs.org/browserslist/-/browserslist-4.14.5.tgz	sha512-Z+vsCZIvCBvqLoYkBFTwEYH3v5MCQbsAjp50ERycpOjnPmolg1Gjy4+KaWWpm8QOJt9GHkhdqAl14NpCX73CWA==	caniuse-lite:^1.0.30001135,electron-to-chromium:^1.3.571,escalade:^3.1.0,node-releases:^1.1.61					
object.getownpropertydescriptors	2.1.0	https://registry.npmjs.org/object.getownpropertydescriptors/-/object.getownpropertydescriptors-2.1.0.tgz	sha512-Z53Oah9A3TdLoblT7VKJaTDdXdT+lQO+cNpKVnya5JDe9uLvzu1YyY1yFDFrcxrlRgWrEFH0jJtD/IbuwjcEVg==		es-abstract	1.17.7	https://registry.npmjs.org/es-abstract/-/es-abstract-1.17.7.tgz	sha512-VBl/gnfcJ7OercKA9MVaegWsBHFjV492syMudcnQZvt/Dw8ezpcOHYZXa/J96O8vx+g4x65YKhxOwDUh63aS5g==	es-to-primitive:^1.2.1,function-bind:^1.1.1,has:^1.0.3,has-symbols:^1.0.1,is-callable:^1.2.2,is-regex:^1.1.1,object-inspect:^1.8.0,object-keys:^1.1.1,object.assign:^4.1.1,string.prototype.trimend:^1.0.1,string.prototype.trimstart:^1.0.1
postcss-focus-visible	4.0.0	https://registry.npmjs.org/postcss-focus-visible/-/postcss-focus-visible-4.0.0.tgz	sha512-Z5CkWBw0+idJHSV6+Bgf2peDOFf/x4o+vX/pwcNYrWpXFrSfTkQ3JQ1ojrq9yS+upnAlNRHeg8uEwFTgorjI8g==	postcss:^7.0.2					
css-has-pseudo	0.10.0	https://registry.npmjs.org/css-has-pseudo/-/css-has-pseudo-0.10.0.tgz	sha512-Z8hnfsZu4o/kt+AuFzeGpLVhFOGO9mluyHBaA2bA8aCGTwah5sT3WV/fTHH8UNZUytOIImuGPrl/prlb4oX4qQ==		cssesc	2.0.0	https://registry.npmjs.org/cssesc/-/cssesc-2.0.0.tgz	sha512-MsCAG1z9lPdoO/IUMLSBWBSVxVtJ1395VGIQ+Fc2gNdkQ1hNDnQdw3YhA71WJCBW1vdwA0cAnk/DnW6bqoEUYg==	
